id,age,gender,education,neuroticism,extraversion,openness,agreeableness,conscientiousness,impulsivity,sensation_seeking,alcohol_ever,alcohol_year,alcohol_week,caffeine_ever,caffeine_year,caffeine_week,cannabis_ever,cannabis_year,cannabis_week,cocaine_ever,cocaine_year,cocaine_week,meth_ever,meth_year,meth_week
241,35-44,F,Ed8,42,31,46,53,56,1,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
242,25-34,F,Ed4,55,31,40,48,34,4,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
243,18-24,F,Ed5,50,29,24,48,35,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
244,25-34,F,Ed7,30,47,51,49,48,1,5,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
245,35-44,M,Ed7,54,29,45,50,20,2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
246,25-34,F,Ed5,33,33,34,33,31,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
247,25-34,F,Ed6,49,35,37,46,37,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
248,45-54,M,Ed8,27,38,38,47,52,3,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
249,45-54,F,Ed9,16,41,44,55,53,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
250,45-54,F,Ed6,47,42,45,49,49,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
251,45-54,M,Ed7,31,41,44,40,51,4,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
252,35-44,F,Ed7,42,33,41,42,47,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
253,18-24,F,Ed8,23,46,42,56,54,2,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
254,45-54,F,Ed9,28,41,48,43,48,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
255,25-34,M,Ed6,49,35,41,37,40,1,3,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
256,35-44,F,Ed8,25,51,53,51,47,4,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
257,18-24,F,Ed5,31,44,44,48,48,2,5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
258,35-44,M,Ed9,36,40,52,25,40,2,6,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
259,65+,M,Ed9,41,39,43,33,53,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
260,65+,M,Ed6,26,38,48,46,47,3,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
261,45-54,F,Ed6,31,46,58,37,42,8,9,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
262,55-64,M,Ed7,29,37,51,43,41,8,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
263,45-54,M,Ed8,27,45,44,49,44,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
264,55-64,F,Ed1,26,40,46,53,49,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
265,18-24,F,Ed7,31,41,46,47,46,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
266,35-44,F,Ed7,33,40,43,43,42,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
267,55-64,M,Ed7,25,39,45,45,47,3,6,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
268,35-44,M,Ed6,27,49,37,40,42,3,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
269,45-54,F,Ed8,26,51,50,46,54,3,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
270,35-44,F,Ed8,27,41,40,38,43,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
271,45-54,F,Ed8,17,53,56,48,47,6,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
272,45-54,F,Ed8,43,35,49,45,31,2,8,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
273,55-64,M,Ed9,26,40,46,45,42,5,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
274,25-34,F,Ed7,38,41,38,45,44,2,5,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
275,35-44,M,Ed8,38,46,47,37,46,3,8,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
276,35-44,F,Ed8,40,37,47,46,52,1,5,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
277,55-64,M,Ed9,27,43,42,41,38,3,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
278,25-34,M,Ed5,26,49,53,48,41,5,6,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
279,45-54,F,Ed7,33,37,44,48,42,2,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
280,45-54,M,Ed8,24,45,48,46,45,4,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
281,55-64,M,Ed8,35,41,51,43,35,2,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
282,45-54,F,Ed5,36,38,30,42,41,2,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
283,45-54,F,Ed8,35,40,47,49,48,4,7,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
284,45-54,M,Ed7,27,50,47,41,47,4,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
285,35-44,M,Ed6,25,34,51,40,44,7,5,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
286,35-44,M,Ed7,27,48,41,41,44,1,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
287,45-54,F,Ed7,38,30,45,34,41,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
288,45-54,M,Ed8,39,42,43,46,35,3,5,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
289,25-34,M,Ed5,42,42,41,41,42,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
290,25-34,F,Ed8,19,44,41,53,49,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
291,35-44,F,Ed6,27,46,40,52,48,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
292,35-44,F,Ed5,42,32,49,38,39,1,4,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
293,45-54,F,Ed6,35,39,42,39,45,2,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
295,25-34,F,Ed6,47,40,45,38,39,4,5,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
296,18-24,F,Ed3,32,43,45,39,41,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
297,35-44,M,Ed6,49,37,47,43,42,2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
298,65+,F,Ed2,44,34,47,42,49,3,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
300,35-44,F,Ed7,37,38,36,53,45,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
301,35-44,F,Ed6,44,33,45,46,46,2,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
302,25-34,F,Ed5,33,37,35,44,46,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
303,35-44,F,Ed9,41,37,41,47,48,2,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
304,55-64,F,Ed6,34,44,46,38,39,3,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
305,45-54,F,Ed7,32,40,37,42,48,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
306,45-54,F,Ed7,26,22,37,53,43,2,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
307,35-44,M,Ed8,38,31,40,36,47,1,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
308,45-54,M,Ed8,31,36,41,50,47,2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
309,35-44,F,Ed4,21,45,45,43,52,4,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
310,35-44,M,Ed8,28,41,45,47,45,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
311,45-54,F,Ed7,24,39,40,44,46,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
312,18-24,F,Ed2,47,36,32,41,41,8,8,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
313,45-54,F,Ed8,32,40,43,45,43,1,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
314,25-34,F,Ed8,36,51,48,47,50,4,4,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0
315,18-24,F,Ed4,30,41,41,44,41,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
316,45-54,F,Ed9,28,45,50,43,45,2,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
317,55-64,F,Ed7,31,45,53,40,36,8,7,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
318,35-44,M,Ed7,28,52,39,43,49,2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
319,25-34,F,Ed6,36,40,41,45,48,1,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
320,45-54,F,Ed2,39,38,37,42,46,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
321,45-54,F,Ed7,43,38,42,36,41,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
322,35-44,F,Ed5,41,38,39,54,52,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
323,18-24,F,Ed7,28,43,49,49,43,3,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
324,45-54,M,Ed3,45,32,34,45,36,2,6,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
325,25-34,F,Ed9,38,40,55,37,48,4,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
326,35-44,F,Ed6,28,48,45,49,55,4,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
327,35-44,M,Ed4,30,28,32,49,45,5,6,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
328,45-54,M,Ed8,20,50,46,53,50,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
329,25-34,F,Ed6,38,38,37,50,38,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
330,45-54,M,Ed6,32,43,39,46,41,5,5,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
331,45-54,F,Ed6,26,43,41,48,47,3,5,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
332,35-44,M,Ed1,33,37,39,40,46,1,3,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0
333,55-64,F,Ed4,31,37,35,49,47,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
334,18-24,F,Ed5,59,26,40,46,28,4,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
335,65+,M,Ed5,24,37,39,44,43,7,5,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
336,65+,F,Ed2,34,39,36,34,42,3,8,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
337,25-34,F,Ed8,40,36,50,46,34,8,8,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
338,45-54,F,Ed8,42,41,45,43,50,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
339,45-54,F,Ed6,30,42,53,31,45,8,7,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
340,35-44,M,Ed9,20,48,48,48,51,3,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
341,45-54,F,Ed6,34,38,42,49,47,1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
342,35-44,F,Ed8,31,47,52,45,45,0,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
343,55-64,F,Ed6,21,46,44,49,53,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
344,55-64,F,Ed6,42,40,46,42,46,4,4,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
345,18-24,F,Ed1,38,39,46,42,39,6,3,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
346,35-44,F,Ed8,20,41,55,54,49,2,3,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
347,35-44,F,Ed7,36,43,45,49,44,4,5,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
348,45-54,F,Ed7,34,51,56,57,44,8,9,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
349,45-54,M,Ed8,27,45,46,43,45,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
350,45-54,M,Ed6,30,42,43,42,44,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
351,45-54,M,Ed7,41,35,42,44,41,3,7,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
352,35-44,F,Ed5,46,36,52,51,37,6,5,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0
353,35-44,M,Ed6,40,41,46,40,38,3,7,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
354,45-54,M,Ed7,34,35,49,48,31,4,5,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
355,25-34,M,Ed2,31,40,45,39,45,5,3,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
356,35-44,M,Ed6,38,39,46,45,40,2,7,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
357,25-34,M,Ed1,42,40,54,54,48,8,10,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
358,45-54,M,Ed7,25,39,37,52,45,2,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
359,35-44,M,Ed2,57,31,39,31,29,8,10,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0
360,35-44,M,Ed5,40,34,52,44,39,5,5,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
361,25-34,F,Ed5,30,50,50,44,45,7,10,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0
362,45-54,F,Ed7,41,45,46,44,41,3,6,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
363,35-44,F,Ed6,42,44,53,49,50,6,7,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0
364,45-54,M,Ed7,40,42,45,47,45,2,4,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
365,45-54,F,Ed6,48,39,37,48,45,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
366,35-44,F,Ed9,40,39,47,43,38,3,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
367,45-54,M,Ed6,34,40,42,40,32,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
368,35-44,F,Ed7,26,43,45,42,46,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
369,45-54,F,Ed7,25,43,48,46,44,4,5,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
370,25-34,M,Ed6,35,33,34,44,47,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
371,25-34,F,Ed7,48,42,48,48,37,4,5,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
372,18-24,M,Ed4,38,42,47,37,40,2,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
373,35-44,F,Ed7,46,54,56,34,45,7,10,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
374,18-24,F,Ed5,45,46,38,47,44,3,7,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0
375,45-54,M,Ed7,32,27,51,37,43,3,4,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0
376,55-64,F,Ed8,33,48,52,53,49,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
377,65+,M,Ed6,37,41,48,34,51,1,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
378,45-54,F,Ed8,27,40,41,44,48,2,7,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
379,25-34,F,Ed7,31,36,34,46,38,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
380,25-34,M,Ed8,44,33,50,47,47,5,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
381,45-54,F,Ed6,44,37,51,43,44,3,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
382,35-44,M,Ed7,31,47,44,39,43,4,8,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
383,35-44,M,Ed2,32,36,38,37,36,7,4,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
384,35-44,F,Ed8,28,41,45,41,47,4,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
385,45-54,F,Ed7,37,38,43,50,47,0,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
386,45-54,F,Ed7,33,41,39,48,46,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,25-34,M,Ed6,30,37,29,44,39,2,5,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
388,45-54,M,Ed4,19,43,38,53,46,2,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
389,25-34,M,Ed7,24,42,42,34,54,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,35-44,M,Ed6,37,38,47,42,40,3,3,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0
391,25-34,M,Ed9,30,42,45,44,46,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
392,35-44,F,Ed5,29,37,48,44,42,4,3,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0
393,25-34,F,Ed7,42,40,47,45,43,2,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
394,35-44,F,Ed3,31,42,42,43,49,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
395,25-34,F,Ed6,28,39,30,39,51,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
396,25-34,M,Ed6,23,44,45,38,53,5,7,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0
397,35-44,M,Ed7,38,48,43,33,36,8,9,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0
398,35-44,F,Ed7,20,44,39,41,46,3,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
399,45-54,M,Ed6,37,43,40,33,45,7,9,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
400,25-34,F,Ed8,28,42,48,34,48,6,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
401,45-54,M,Ed8,27,48,55,49,46,2,2,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
402,25-34,F,Ed4,34,39,32,47,47,2,3,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
403,45-54,M,Ed2,37,32,43,32,37,8,9,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
404,18-24,M,Ed5,27,35,44,39,32,5,7,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
405,18-24,M,Ed7,23,44,44,38,39,1,4,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
406,45-54,M,Ed3,45,39,45,42,44,6,6,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
407,18-24,F,Ed1,37,50,57,51,42,7,8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
408,45-54,F,Ed7,53,33,56,43,39,4,7,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
409,35-44,M,Ed3,49,39,44,41,37,3,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
410,25-34,M,Ed7,29,41,50,44,40,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
411,35-44,F,Ed6,22,45,51,45,46,3,7,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0
412,45-54,M,Ed4,46,30,49,49,31,6,7,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
413,35-44,F,Ed5,31,29,48,44,29,3,3,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0
414,25-34,F,Ed7,37,47,39,46,40,2,4,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
415,35-44,M,Ed5,36,39,51,44,39,3,5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
416,35-44,F,Ed5,20,42,38,42,37,4,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
417,18-24,M,Ed4,30,32,42,29,56,3,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
418,18-24,M,Ed5,35,35,48,28,32,4,8,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
419,25-34,M,Ed5,28,46,47,36,37,7,10,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
420,25-34,F,Ed9,39,40,53,40,45,3,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
421,25-34,M,Ed7,42,41,45,41,43,4,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
422,18-24,M,Ed4,39,45,46,37,49,5,8,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
423,25-34,M,Ed5,39,27,36,41,39,5,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
424,35-44,M,Ed6,28,39,46,54,37,3,2,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0
425,35-44,F,Ed7,26,45,41,51,48,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
426,45-54,F,Ed9,41,40,56,49,42,7,7,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0
427,35-44,M,Ed7,32,38,47,41,29,3,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
428,45-54,M,Ed2,38,40,44,42,42,5,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
429,35-44,M,Ed7,42,34,45,34,41,6,6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
430,25-34,F,Ed4,27,39,31,45,47,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
431,25-34,M,Ed1,38,33,36,38,40,3,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
432,25-34,F,Ed4,36,42,39,49,34,4,5,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
433,25-34,M,Ed7,33,38,34,45,43,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
434,45-54,F,Ed2,38,52,38,51,41,8,8,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
435,18-24,F,Ed7,34,46,35,56,52,3,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
436,25-34,F,Ed7,36,43,38,47,53,2,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
437,55-64,M,Ed5,29,38,53,54,47,1,2,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0
438,45-54,M,Ed2,23,43,48,37,45,5,7,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
439,25-34,F,Ed7,59,37,40,31,26,6,6,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0
440,18-24,F,Ed5,49,38,48,42,28,4,5,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0
441,35-44,F,Ed7,31,43,42,48,53,3,4,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
442,18-24,F,Ed5,29,49,31,43,46,5,6,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
443,25-34,F,Ed8,27,40,48,42,42,4,6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
444,35-44,M,Ed2,40,44,41,38,40,3,5,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
445,45-54,F,Ed6,31,45,50,44,47,0,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
446,45-54,F,Ed7,46,33,42,37,45,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
447,25-34,F,Ed7,38,32,49,58,37,2,7,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
448,25-34,M,Ed8,36,39,40,38,33,7,6,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
449,18-24,F,Ed5,47,49,53,31,35,7,9,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
450,18-24,M,Ed7,32,44,49,41,47,3,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0
451,18-24,F,Ed7,43,39,40,47,34,5,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
452,18-24,F,Ed8,25,45,40,42,47,4,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
453,35-44,F,Ed7,34,39,47,44,48,1,6,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0
454,25-34,M,Ed7,48,27,44,44,45,1,5,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0
455,45-54,M,Ed9,34,36,52,38,40,8,8,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
456,18-24,F,Ed7,44,34,51,38,22,6,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
457,35-44,M,Ed7,51,37,48,28,37,6,7,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0
458,35-44,F,Ed8,31,36,47,47,47,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
459,18-24,F,Ed7,42,40,47,47,43,3,6,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
460,25-34,M,Ed8,45,48,57,26,39,5,6,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0
461,18-24,F,Ed7,48,30,54,31,44,6,6,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
462,18-24,M,Ed5,50,30,28,54,32,5,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
463,35-44,M,Ed5,44,43,55,44,24,7,9,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0
464,45-54,M,Ed4,46,33,42,52,32,3,7,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
465,18-24,F,Ed7,39,34,53,48,48,4,5,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0
466,18-24,F,Ed8,49,32,46,40,39,7,8,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
467,18-24,F,Ed7,39,44,53,50,40,2,8,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0
468,45-54,M,Ed7,38,40,54,43,51,3,5,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0
469,35-44,M,Ed7,35,41,41,41,43,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
470,25-34,M,Ed7,25,51,55,48,42,6,9,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
471,45-54,F,Ed2,59,28,36,53,26,3,6,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1
472,18-24,F,Ed7,37,45,48,42,47,2,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
473,18-24,M,Ed8,27,55,53,50,55,3,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
474,18-24,F,Ed1,39,40,45,51,42,4,5,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
475,35-44,F,Ed5,49,40,43,38,38,6,5,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0
476,55-64,F,Ed7,33,46,47,42,45,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
477,45-54,F,Ed7,25,46,43,48,48,2,3,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0
478,35-44,M,Ed7,52,33,50,31,39,4,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
479,35-44,F,Ed6,50,35,41,35,32,7,8,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
480,25-34,F,Ed7,40,45,44,49,46,3,6,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
481,25-34,F,Ed8,40,37,55,52,44,4,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
482,18-24,M,Ed5,47,34,45,34,37,1,3,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0
483,35-44,F,Ed7,46,41,48,42,46,4,7,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0
484,35-44,M,Ed5,29,39,48,44,52,2,5,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0
485,25-34,F,Ed7,48,43,55,45,48,4,3,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0
