name,cuisine,inspection_date,score,critical
MAMA'S FRIED CHICKEN,Chicken,10/03/2022,13,1
CORKBUZZ,New American,06/28/2023,13,0
DUNKIN,Donuts,09/16/2024,13,1
OSTERIA DELBIANCO,Italian,02/28/2023,4,0
GYU-KAKU,Japanese,03/28/2022,19,0
RENAISSANCE NEW YORK CHELSEA,American,07/05/2023,46,0
VERACE,Italian,05/21/2024,23,0
PI GREEK BAKERIE,Greek,08/20/2024,30,0
GINJAN CAFE,Coffee/Tea,01/27/2025,45,0
RAMEN TAKUMI,Japanese,08/08/2022,0,1
YEH'S BAO,Chinese,09/24/2024,8,1
DD SOUP DUMPLING,Asian/Asian Fusion,08/15/2024,63,0
DOMINO'S,Pizza,07/09/2024,13,1
LIGHT SALT,Asian/Asian Fusion,03/15/2024,48,1
PINKBERRY,Frozen Desserts,02/22/2023,33,1
ST DYMPHNAS,American,11/30/2021,47,1
BLANK STREET,Coffee/Tea,05/05/2023,12,1
EET,American,03/16/2023,12,0
THE COMMONS CHELSEA,Coffee/Tea,05/15/2024,13,1
GRAMERCY KITCHEN,American,01/17/2025,11,1
UNA PIZZA NAPOLETANA,Pizza,05/05/2023,21,1
MAGNOLIA BAKERY,Bakery Products/Desserts,04/12/2023,13,0
BAGELS AND MORE,Bagels/Pretzels,03/08/2022,12,0
456 NEW SHANGHAI RESTAURANT,Chinese,01/03/2023,16,0
BLACK FOX COFFEE,Coffee/Tea,02/21/2025,7,0
BLUESTONE LANE,Coffee/Tea,11/29/2024,33,1
PARTEA,Coffee/Tea,04/28/2023,78,0
SARITA'S MAC & CHEESE,American,01/10/2023,31,0
ROCKY'S PIZZERIA & RESTAURANT II,Pizza,03/30/2023,25,0
SUSHI KOYA,Japanese,01/22/2024,19,0
EL JEFE CANTINA SPORTS BAR,Mexican,04/18/2023,27,1
NORDSTROM SHOE BAR,American,07/28/2022,41,1
CROMPTON ALE HOUSE,American,12/04/2023,24,1
AFRICA KINE,African,09/09/2024,3,0
BOCCA DI BACCO,Italian,08/19/2024,66,0
IPPUDO,Japanese,06/09/2022,0,1
CHIPOTLE MEXICAN GRILL,Tex-Mex,03/08/2022,2,0
BITE,American,03/05/2025,39,1
HILTON GARDEN INN CHELSEA,American,08/15/2022,57,0
MOLLY'S CUPCAKES,Bakery Products/Desserts,12/27/2023,12,1
CAFE LAFAYETTE,Sandwiches,12/13/2022,37,1
BANQUET KITCHEN (MARRIOTT),American,05/05/2023,26,0
AMBER,Asian/Asian Fusion,11/18/2024,13,1
SUSHI ISHIKAWA,Japanese,12/19/2024,9,0
"MONARCH GILDED LILY , KOLA H",American,06/30/2019,2,0
ORA DI PASTA,Italian,09/18/2024,33,0
EM STAR CAFE,Chinese,01/09/2024,13,1
PAUL'S DA BURGER JOINT,Hamburgers,02/06/2024,10,1
ATTO SUSHI & CAFE HATOU,Japanese,03/12/2025,13,0
THE CALAVERAS,Mexican,10/06/2022,41,0
COMMUNITY FOOD AND JUICE,American,05/02/2023,19,0
CHELSEA SQUARE RESTAURANT,American,02/15/2023,13,0
AMY'S BREAD @ CAFE AT 200 LEX,Bakery Products/Desserts,01/04/2024,12,1
JOE ALLEN RESTAURANT,American,05/28/2024,22,0
L'OSTERIA,Italian,04/07/2022,0,0
KATI SHOP,Thai,02/24/2023,12,0
JUICY CUBE,"Juice, Smoothies, Fruit Salads",04/26/2022,31,1
CAFE HONG KONG,Chinese,02/09/2023,33,1
AVRILILILLYS CREAMERY,Bakery Products/Desserts,03/02/2024,10,1
CHIPOTLE MEXICAN GRILL,Tex-Mex,12/12/2023,42,1
MCDONALD'S,Hamburgers,03/07/2024,10,0
LA PIZZA ITALIA,Pizza,09/28/2023,80,1
JOHN'S FRIED CHICKEN,Chicken,12/01/2023,34,0
CHIRPING CHICKEN,Chicken,12/11/2024,40,1
DUE,Italian,10/03/2023,13,1
OASIS JIMMA JUICE BAR,"Juice, Smoothies, Fruit Salads",07/03/2024,51,0
KANA TAPAS BAR & RESTAURANT,Tapas,02/10/2022,16,1
ALL AMERICAN DELI,Sandwiches,09/01/2022,25,1
SWEETGREEN,Salads,11/22/2023,9,0
SUSHI RYUSEI,Japanese,05/01/2024,13,0
FRESCO,Italian,11/20/2024,13,1
TOMS JUICE,"Juice, Smoothies, Fruit Salads",05/17/2023,38,0
DAVIDOVICH BAKERY,Bakery Products/Desserts,08/30/2023,25,1
ESSEN,American,08/30/2024,34,0
ISLA BONITA NYC,Spanish,12/12/2024,9,1
POTBELLY SANDWICH SHOP,Sandwiches,10/24/2024,8,1
MEZZALUNA,Italian,06/23/2023,11,0
JOE AND THE JUICE,"Juice, Smoothies, Fruit Salads",06/28/2023,25,0
THE HOPTIMIST,Bottled Beverages,04/27/2023,20,0
PEE DEE STEAK HOUSE,American,07/11/2022,47,0
I SODI,Italian,02/28/2024,25,1
TAMPICO TEQUILA BAR,Tapas,11/06/2024,17,0
GEISHA JAPANESE GRILL,Fusion,12/10/2024,26,1
FLEX,American,01/23/2024,22,1
PLNT BURGER,Vegan,06/28/2023,27,1
CHOP'T,American,04/19/2023,18,1
KENNEDY CHICKEN & BURGERS,Chicken,11/25/2024,58,0
BOMBAY GRILL HOUSE,Indian,12/13/2022,23,1
VIN SUR VINGT,French,03/15/2022,55,1
CHOP'T,Salads,01/20/2022,8,0
SUBWAY,Sandwiches,07/07/2022,42,1
LADY CHOW KITCHEN,Chinese,08/06/2024,64,1
PAPA JOHN'S PIZZA,Pizza,10/05/2023,20,0
MARUFUKU RAMEN,Japanese,01/09/2023,13,1
NARE SUSHI,Japanese,05/04/2023,13,0
HEAVENLY MARKET & PIZZA,American,01/15/2025,19,0
SPICE,Thai,12/06/2022,26,1
PEACEFOOD DOWNTOWN,Vegan,05/16/2022,39,0
HOTEL CARLYLE EMPLOYEE CAFETERIA,American,12/16/2024,22,1
BURP BOWL,Chinese,07/27/2023,15,1
VAN LEEUWEN ICE CREAM,Frozen Desserts,03/21/2024,11,1
MOMOKAWA,Japanese,12/20/2023,12,0
LA BOTANERA DE ACAPULCO RESTAURANT CORP,Mexican,08/05/2024,26,0
JUICE PRESS,"Juice, Smoothies, Fruit Salads",12/17/2024,37,0
XING WONG BBQ,Chinese,03/01/2022,21,1
P.J. CLARKE'S ON THE HUDSON,American,07/23/2024,51,1
FEAST ON US,American,06/01/2022,12,0
MCCOY'S PUB,Irish,03/03/2023,28,0
DUNKIN',Donuts,09/09/2022,13,0
TERRACE CAFÉ,American,06/20/2023,7,1
A SLICE OF NEW YORK,Pizza,04/12/2023,92,1
HENRY AND THE LIONS,American,08/17/2023,56,1
NAM SON RESTAURANT,Asian/Asian Fusion,12/11/2024,8,1
OPEN MARKET,American,06/10/2024,37,0
SPAGHETTI INCIDENT,Italian,12/10/2024,13,0
GAZAB,Indian,11/14/2024,21,0
DANTE WEST VILLAGE,Italian,09/13/2022,0,1
STARBUCKS,Coffee/Tea,10/19/2023,17,0
HO HO TE,Coffee/Tea,11/25/2024,23,1
DESI DELI PUNJABI DHABA,Indian,09/19/2022,18,1
PALADAR & GRILL,Latin American,08/29/2023,33,0
GO NOODLE,Chinese,11/20/2024,24,1
JOE & THE JUICE AMSTERDAM AVE,"Juice, Smoothies, Fruit Salads",05/30/2023,20,1
PFIZER,American,02/15/2024,12,1
SCALLYWAG'S IRISH PUB & REST,Irish,08/24/2022,0,1
IL BRIGANTE,Italian,02/14/2022,21,0
SPRING PLACE,Mediterranean,05/26/2023,9,1
STELLA'S PIZZA,Pizza,04/07/2022,7,0
TERIYAKI R US,Asian/Asian Fusion,11/21/2024,24,1
CAMPAGNOLA RESTAURANT,Italian,01/28/2023,2,0
TSUSHIMA,Japanese,10/23/2024,35,1
MAMAN,Coffee/Tea,08/09/2022,0,1
AJISEN RAMEN,Japanese,12/20/2022,11,1
HAMPTON INN EMPIRE STATE BUILDING,American,11/13/2024,9,1
KO SUSHI,Japanese,06/06/2024,78,0
TARTINERY,French,02/11/2025,50,0
OSLO COFFEE ROASTERS,Coffee/Tea,11/04/2021,20,0
MR. PURPLE,American,12/17/2024,27,1
NAYA,Lebanese,12/22/2021,11,0
BAAZI NYC,Indian,02/28/2023,35,1
BLANK STREET COFFEE,Coffee/Tea,07/18/2023,13,0
SPEARMINT RHINO GENTLEMEN'S CLUB,Bottled Beverages,05/23/2022,37,1
FRESCO,Italian,08/05/2022,34,1
CECI ITALIAN CUISINE,Italian,02/28/2023,2,0
BAR PITTI,Italian,05/23/2023,22,1
A-1 PIZZA SHOP,Pizza,03/14/2023,33,1
NIKKO,Asian/Asian Fusion,08/30/2021,40,1
ROWDY ROOSTER,Indian,12/13/2023,28,1
ANITA GELATO,Frozen Desserts,03/14/2024,7,0
NUSRET STEAKHOUSE,Turkish,12/08/2021,11,1
STARBUCKS,Coffee/Tea,07/14/2022,13,0
CINNABON/AUNTIE ANNE'S,Bakery Products/Desserts,08/21/2024,55,1
P & S DELI GROCERY,American,02/07/2023,12,1
RAVAGH PERSIAN GRILL,Middle Eastern,05/05/2022,0,1
ZUTTO JAPANESE AMERICAN PUB,Japanese,03/15/2022,25,1
HUNTER DELI,American,03/28/2024,37,0
STONE STREET TAVERN (@ 52 STONE ST),American,02/08/2022,10,1
WILD GINGER VEGETARIAN KITCHEN,Vegetarian,12/27/2022,10,1
MCDONALD'S,Hamburgers,09/10/2024,20,0
"SALUMERIA BEILLESE, BIRICCHINO REST",Italian,01/16/2025,13,1
IRIS,Mediterranean,03/12/2025,25,1
STARBUCKS,Coffee/Tea,12/03/2024,12,1
MADRAS DOSA CO,Indian,12/16/2024,20,1
SUBWAY,Sandwiches,10/25/2023,30,1
KING BARKA,Caribbean,09/01/2022,0,0
THE DUTCH,American,07/27/2021,9,1
UPTOWN JUICE & VEG,Caribbean,03/26/2024,42,1
ANANDA,Indian,07/18/2022,29,0
100 MARKET PLACE,American,01/22/2024,20,1
CHOCOLATE DIP,Frozen Desserts,06/07/2022,35,0
HAPPY GARDEN PALACE,Chinese,03/16/2022,13,0
NEXUS CLUB NEW YORK,American,05/12/2023,20,0
DANIEL'S COFFEE AND MORE,Coffee/Tea,03/22/2024,8,0
WANG LAO JI HERBAL TEA,Coffee/Tea,11/07/2024,12,1
SUBWAY,Sandwiches,04/03/2023,19,1
51 PIZZA,Pizza,08/26/2022,37,1
MAMA SUSHI,Japanese,10/22/2024,33,1
CENTRAL PARK BOATHOUSE CAFE,Continental,04/04/2024,12,0
BITES OF XIAN,Chinese,03/24/2022,3,0
SOFIA'S LITTLE ITALY,Italian,06/07/2023,25,1
THE GREEK KITCHEN,Greek,04/18/2023,22,0
ARTBEAN COFFEE ROASTERS,Coffee/Tea,12/22/2023,9,0
SUSHI BY BOU,Japanese,07/17/2024,22,1
LOULOU,French,03/20/2023,28,1
AVOCADERIA,American,12/02/2021,22,1
PLAN B,Korean,08/18/2022,29,1
UVA NEXT DOOR,Italian,05/03/2022,0,1
INES CAFE,Coffee/Tea,09/08/2023,10,1
IPPUDO,Japanese,06/21/2024,30,0
TALIA'S STEAKHOUSE,Steakhouse,03/30/2022,12,1
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Caribbean,12/01/2022,31,1
MCCARTHY'S,Irish,01/06/2023,11,0
LA BELLA VITA,Italian,11/18/2024,10,1
MUDSPOT,American,05/30/2024,9,0
HAPPY STAR BAKERY,Bakery Products/Desserts,03/14/2023,2,0
JOE & THE JUICE,"Juice, Smoothies, Fruit Salads",01/19/2022,36,1
GREEN GARDEN VILLAGE,Chinese,12/05/2023,30,1
RIVERPARK,American,12/04/2023,24,1
THREE GUY'S RESTAURANT,American,09/25/2023,11,1
A PASTA BAR,Italian,11/02/2023,12,1
ABC KITCHEN,American,11/14/2022,13,0
NEW TANG'S RESTAURANT,Chinese,01/11/2023,48,1
FRIEDMAN'S,American,07/18/2024,10,0
BANTER,Coffee/Tea,05/11/2022,9,0
TIGER SUGAR,Coffee/Tea,10/03/2024,8,1
SACHI ASIAN BISTRO I,Chinese,08/14/2024,36,1
SHINN EAST,Chinese/Japanese,12/08/2022,57,1
LIDO,Italian,08/16/2023,9,0
CHINA ONE,Chinese,04/16/2024,34,1
BITES OF XI'AN,Chinese,01/07/2025,27,0
EFFY'S KITCHEN,American,10/17/2024,10,1
BANH MI ZON,Asian/Asian Fusion,02/06/2024,36,1
PICK-A-BAGEL,American,11/08/2024,20,1
KOBRICK COFFEE CO.,Coffee/Tea,09/23/2022,23,0
PIZZA TOWN,Pizza,04/25/2022,59,0
LA MARCHANDE,Other,01/28/2025,35,1
ARTXNYC,Coffee/Tea,12/05/2024,63,1
COURTYARD BY MARRIOTT MANHATTAN CHELSEA,American,05/08/2023,7,0
MADAM MIKETTE'S,American,03/11/2025,13,0
Avenida,Mexican,04/25/2022,14,1
156 VALLE RESTAURANT,Spanish,02/08/2023,56,1
WHISKEY TRADER,American,05/06/2024,18,0
DUNKIN,Donuts,03/18/2022,2,0
SUTTON CAFE RESTAURANT,American,02/06/2024,21,0
DUNKIN,Donuts,09/11/2024,13,1
TURCO,Turkish,05/06/2024,26,1
JUICE PRESS & CHLOE'S,"Juice, Smoothies, Fruit Salads",03/28/2023,22,1
BIRCH COFFEE-Entrance on Beekman St,Coffee/Tea,04/04/2022,12,0
BISOU,French,02/06/2024,11,1
MAMAJUANA CAFE,Latin American,02/19/2025,27,0
CHICK CHICK,Chicken,09/27/2024,24,1
MARK JOSEPH STEAKHOUSE,Steakhouse,06/03/2024,26,0
CHELSEA BAGEL & PIZZERIA,American,10/07/2024,13,1
SCHILLING,German,05/02/2023,8,0
THE SPA CLUB,Korean,05/08/2023,9,1
JOHN JAY DINING HALL,American,10/19/2023,13,1
BLU REAL ESTATE CAFE,Coffee/Tea,12/13/2024,13,1
HAN DYNASTY,Chinese,11/01/2023,45,1
REMI43 FLOWER & COFFEE,Coffee/Tea,04/03/2024,18,1
FIAT CAFE,Italian,07/11/2023,21,1
TOMPKINS SQUARE BAGELS,Bagels/Pretzels,07/30/2021,26,0
SOUVLAKI GR MIDTOWN,Greek,05/06/2022,13,1
TERRA THAI,Thai,05/22/2024,11,0
Aroma Coffee Shop,Coffee/Tea,09/16/2024,13,1
CAFE ABBONDANZA,American,08/26/2022,12,1
JAJAJA MEXICANA,Mexican,11/08/2021,24,1
EMPIRE III,Chinese,08/03/2022,0,1
JOE & THE JUICE (OCULUS WESTFIELD),"Juice, Smoothies, Fruit Salads",06/08/2022,40,1
TOSOKCHON NYC,Korean,05/01/2024,25,1
LOTTE NEW YORK PALACE -POMME PALAIS,French,05/14/2024,12,0
CAFE D'AVIGNON,Bakery Products/Desserts,11/25/2022,6,1
DINNER ON LUDLOW (DL),American,06/29/2024,10,1
SANTIAGO'S BEER GARDEN,Latin American,01/22/2024,11,1
BRISAS DEL MAR SEAFOOD MARKET,Seafood,10/11/2023,67,1
CLUB USAGI,Japanese,10/10/2024,10,1
CIRCLE LINE LIBERTY (Sat and Sun in Fall),Coffee/Tea,07/30/2024,13,1
DRIP SWEAT,"Juice, Smoothies, Fruit Salads",05/03/2024,45,0
BIG WONG RESTAURANT,Chinese,04/30/2024,94,0
DUNKIN,Donuts,08/26/2022,26,0
BOBBY VAN'S STEAKHOUSE,Steakhouse,04/26/2022,9,1
TARTINE,French,08/13/2024,25,1
LOCAL 92 SOHO,Middle Eastern,07/22/2024,96,1
PENTAGRAM DESIGN,American,10/12/2023,11,1
RITENOW,American,11/02/2023,12,1
VITO'S SLICES AND ICES,Pizza,06/08/2022,23,1
CHOP & GO,Salads,05/15/2023,7,1
CAFE HESTIA,Sandwiches/Salads/Mixed Buffet,01/18/2023,13,1
ZAYTINYA,Mediterranean,11/15/2024,110,1
BLUE BOTTLE COFFEE,Coffee/Tea,09/28/2023,11,0
BOXERS NYC,American,08/22/2023,27,1
CAFFE ARONNE,Coffee/Tea,08/22/2023,51,1
SALTWATER COFFEE,Coffee/Tea,09/16/2024,13,1
BENTO SUSHI,Japanese,01/26/2022,4,0
DER KRUNG,Thai,06/09/2022,13,1
BOBBY VAN'S GRILL,Steakhouse,02/13/2025,23,1
ALL STARS SPORTS BAR & GRILL,American,04/05/2023,31,1
EL TINA FISH MARKET & SEAFOOD RESTAURANT,Seafood,10/06/2022,2,0
JENNIFER CAFE,Latin American,01/09/2023,10,0
SEN SAIGON,Vegetarian,01/27/2025,30,1
SCHMACKARY'S,American,07/29/2021,29,0
M AND PIZZA,Pizza,03/06/2024,27,0
MIGHTY QUINN'S BBQ,Barbecue,06/15/2023,11,0
MIGHTY QUINN'S BBQ,Barbecue,12/04/2024,20,0
THAILICIOUS,Thai,05/11/2022,0,0
LB,Other,01/26/2023,12,0
DUNKIN',Coffee/Tea,11/03/2021,8,0
ARK BAGELS,American,09/05/2023,47,1
RESTUARANT NIPPON,Japanese,10/21/2024,40,1
BEER AUTHORITY,Irish,11/16/2022,13,1
GARLIC PIZZA BAR,Pizza,01/12/2023,24,1
EAR INN,American,01/07/2025,41,1
OHANA EXHIBITION KITCHEN,Eastern European,03/06/2023,24,1
LA CASA DEL MOFONGO AND PIANO BAR,Latin American,05/20/2024,23,0
SIX HAPPINESS,Chinese,05/14/2024,40,1
RODNEY'S,American,03/12/2025,21,1
STARBUCKS,Coffee/Tea,03/16/2023,2,0
NEW CAMERON BAKERY,Bakery Products/Desserts,10/23/2024,27,0
RIVINGTON PIZZA,Pizza,09/07/2022,13,1
535 MADISON CAFE,American,02/07/2023,7,0
CAFE AMBROSIA,Coffee/Tea,10/15/2024,26,0
SMILER'S DELI,Sandwiches,09/20/2022,28,1
DELI & GRILL,American,11/16/2022,27,1
THREE GUY'S RESTAURANT,American,03/07/2025,78,1
GUAC TIME,Mexican,12/29/2022,23,1
BABBALUCCI'S,Italian,01/27/2020,26,1
STARBUCKS,Coffee/Tea,07/21/2022,17,1
Panineria,Sandwiches,02/27/2024,47,1
LUCIEN,French,01/02/2025,13,0
JOE & THE JUICE,"Juice, Smoothies, Fruit Salads",02/16/2023,36,1
H & H MIDTOWN BAGELS EAST,Bagels/Pretzels,03/16/2023,23,1
787 COFFEE,Coffee/Tea,05/06/2024,12,0
MARIE BLACHERE,Bakery Products/Desserts,01/24/2023,39,0
MIMMO,Italian,04/25/2018,10,1
PASTITALIA,Italian,11/06/2024,45,1
The Greens On The Rooftop at Pier 17,American,10/05/2023,13,0
LE CAFE COFFEE,Coffee/Tea,08/21/2023,10,1
LATITUDE 39 @ LOBBY OF HOLIDAY INN,American,12/30/2024,38,1
PRET A MANGER,Sandwiches/Salads/Mixed Buffet,07/15/2024,13,0
ELLINGTON IN THE PARK,American,10/05/2023,75,1
VIA QUADRONNO,Italian,08/19/2022,23,1
BIZCOCHO DE COLORES,Bakery Products/Desserts,08/06/2021,21,0
ZARO'S BREAD BASKET,Bakery Products/Desserts,07/21/2021,72,1
DDO BAR,Korean,09/05/2023,9,1
EMERALD INN,Irish,09/17/2024,51,1
ANTICA RISTORANTE,Italian,06/27/2022,55,1
LENWICH,Sandwiches/Salads/Mixed Buffet,10/24/2024,12,1
SANMIWAGO,Chinese,07/31/2024,27,0
TWO BOOTS WEST VILLAGE,Pizza,12/26/2024,11,0
CHELSEA TABLE AND STAGE,American,10/06/2023,11,0
WHITE OLIVE,Mediterranean,12/19/2022,22,1
SEAMORE'S,Seafood,11/22/2022,12,0
EL NUEVO TAINO RESTAURANT,Latin American,08/17/2023,53,1
PEKING DUCK HOUSE,Chinese,03/15/2023,26,1
OOHU SZECHUAN & CANTON CUISINES,Chinese,09/21/2023,47,0
TABATA,Japanese,05/14/2024,19,1
HILTON GARDEN INN -MANHATTAN- MIDTOWN EAST,American,12/15/2023,59,0
CAFE HESTIA,American,04/22/2022,36,1
DUNKIN,Donuts,03/24/2022,11,0
DON FILIPPO RESTAURANT,Italian,04/21/2023,13,1
THE VAULT IN GRAMERCY,American,02/05/2024,37,1
LA RUBIA RESTAURANT,Spanish,12/06/2024,34,1
SAKE BAR SATSKO,Japanese,11/26/2024,13,1
BROADWAY PIZZA,Pizza,11/10/2021,45,0
BIERHAUS,German,09/17/2024,28,1
BROOKLYN BAGEL & COFFEE COMPANY,Bagels/Pretzels,11/23/2022,10,0
STARBUCKS,Coffee/Tea,07/22/2024,7,0
JACOB SOUL FOOD RESTAURANT,Soul Food,11/26/2024,52,1
SANMIWAGO,Chinese,05/22/2024,87,1
BUTTERFLIED CHICKEN,Mediterranean,09/13/2023,10,0
El Nuevo Valle Seafood Restaurant,Latin American,06/23/2023,12,1
NAPOLI PIZZA,Pizza,11/19/2024,67,0
YIN JI CHANG FEN,Chinese,05/16/2022,37,1
MCDONALDS # 18093,Hamburgers,01/18/2023,6,0
SIENA BAKEHOUSE/SIENA PIZZA,Bakery Products/Desserts,11/04/2024,22,0
FAMOUS 1 DOLLAR PIZZA,Pizza,11/01/2022,18,1
FAMOUS JOE'S PIZZA,Pizza,07/22/2022,11,0
LE CAFE COFFEE,Coffee/Tea,12/07/2023,11,0
FOODA,American,08/16/2023,7,1
ICHIRAN TIMES SQUARE,Japanese,04/18/2022,12,0
SOPHIE'S CUBAN CUISINE,Spanish,05/17/2023,27,0
HOLE IN THE WALL,American,02/28/2022,17,1
CICCIO CINCIN,Fusion,08/12/2024,61,0
LYRIC THEATRE,Other,01/25/2023,20,1
CHIPOTLE MEXICAN GRILL,Tex-Mex,02/27/2024,13,0
GRANO DE CAFE,Coffee/Tea,04/25/2024,78,1
Four Four South Village,Chinese,09/14/2022,12,1
EL NUEVO SANDY RESTAURANT,Latin American,11/03/2022,27,1
THONGLOR NEW YORK,Thai,12/26/2023,0,1
BANQUET KITCHEN,Fusion,07/10/2023,13,1
FRANK,Italian,02/10/2022,19,0
CAFÉ HESTIA,American,11/29/2022,19,1
CAFE ATELIER (ART STUDENTS LEAGUE),American,03/04/2024,13,1
LENA'S ITALIAN KITCHEN,Italian,08/21/2024,28,0
STARBUCKS COFFEE,Coffee/Tea,07/19/2022,13,0
CREPERIE,French,05/26/2022,3,0
YOSWEETS,Frozen Desserts,06/15/2022,18,0
GOOD ENOUGH TO EAT,American,09/16/2024,25,1
THE HOPTIMIST,Bottled Beverages,04/27/2023,20,1
FOUL WITCH,American,10/03/2024,10,1
NAN XIANG XIAO LONG BAO,Chinese,05/15/2024,7,0
CAFE ROUND K,Coffee/Tea,02/26/2024,100,1
UT47 MANHATTAN,Coffee/Tea,04/05/2019,22,0
BLANK STREET COFFEE,Coffee/Tea,12/02/2024,13,0
PANDA EXPRESS,Chinese,04/19/2023,40,1
RANCHO TEQUILERIA,Mexican,06/16/2022,13,1
SO GONG DONG KOREAN BBQ,Korean,10/26/2023,63,0
FRESH CURRY,Bangladeshi,03/21/2022,10,1
Five Flies coffee,American,10/24/2024,5,1
BLACK BURGER/LOS TACOS HERMANOS,American,05/17/2022,36,0
INWOOD BAGELS,Coffee/Tea,02/20/2025,9,0
FRESH SALT,American,06/22/2023,13,0
CANTEEN M & COFFEE M,American,04/19/2022,6,1
FENG SHUN CHANGE 1979 INC,Chinese,09/13/2022,12,0
iPizzaNY,Pizza,05/25/2022,41,0
SEA SALT,Mediterranean,05/23/2023,27,0
PI GREEK BAKERIE,Greek,12/01/2023,36,1
BLUESTONE LANE COFFEE,Australian,08/23/2024,42,1
XO TASTE,Chinese,01/23/2024,54,0
JOA KITCHEN,Korean,07/18/2023,7,0
GOLDEN CITY CHINESE RESTAURANT,Chinese,01/10/2022,42,1
OSLO COFFEE ROASTERS,Coffee/Tea,03/09/2022,43,0
SACHI ASIAN BISTRO I,Chinese,08/14/2024,36,1
Popeyes Louisiana Kitchen,Chicken,07/03/2024,23,0
CHOP'T,Salads,10/23/2023,10,0
ATERA,American,11/22/2024,10,1
PS KITCHEN,American,04/27/2023,33,1
"THE RITZ-CARLTON HOTEL, AUDEN",American,06/29/2023,59,0
ZARO'S FAMILY BAKERY,Bakery Products/Desserts,06/27/2024,23,1
GO BELIEVE BAKERY,Chinese,06/16/2023,13,1
10TH AVENUE PIZZA & CAFE,Pizza,03/07/2023,11,1
"TACO BELL, KFC",Chicken,02/29/2024,36,0
BOWLMOR CHELSEA PIERS,American,05/15/2024,15,1
BLACK PRESS COFFEE,Coffee/Tea,04/13/2023,21,0
MELI TAQUERIA,Mexican,11/21/2024,58,1
INATESSO PIZZA BAR CASANO,Italian,01/15/2025,51,0
"BURGER KING, CINNABON",Hamburgers,09/05/2024,12,0
PASTELES CAPY,Bakery Products/Desserts,03/06/2023,10,0
JUST SALAD,Salads,03/18/2022,0,0
PETIT CHOU,Bakery Products/Desserts,08/11/2023,41,1
BAMBOO EMPANADAS & JUICE BAR,"Juice, Smoothies, Fruit Salads",08/23/2023,45,1
TEN TAN CHINESE RESTAURANT,Chinese,07/25/2024,13,0
XI'AN FAMOUS FOODS,Asian/Asian Fusion,11/30/2021,4,0
THE SHOP +,American,05/18/2023,9,1
CREPERIE,French,09/24/2024,5,0
IGGY'S PIZZERIA,Pizza,11/02/2023,13,0
"DOMODOMO KITCHEN, RAW BAR",Seafood,02/18/2025,33,0
BLANK STREET COFFEE,Coffee/Tea,07/27/2023,12,0
GONG CHA,Coffee/Tea,05/24/2023,12,0
IXTA,Mexican,01/30/2024,5,1
YAKINIKU FUTAGO,Japanese,08/08/2024,97,0
PRET A MANGER,Other,05/01/2024,13,0
WENDY'S,Hamburgers,08/07/2024,13,1
KANOYAMA,Japanese,07/09/2024,13,0
ABA TURKISH RESTAURANT,Turkish,07/15/2024,19,0
BURGER JOINT,Hamburgers,06/28/2023,8,1
NARUTO RAMEN,Japanese,01/17/2023,27,0
KATANA KITTEN,Japanese,01/23/2025,29,1
SUNDAES BEST,Frozen Desserts,04/10/2024,12,0
MISS DU'S TEA SHOP,Coffee/Tea,04/09/2024,31,1
NEW 94TH EAST BROADWAY,Chinese,04/11/2023,51,0
BREAD & BUTTER,American,05/19/2023,26,0
CHOP'T,Salads,05/02/2023,8,0
COCO FRESH TEA & JUICE,Coffee/Tea,11/21/2022,12,1
REALMUTO ALTA PASTICCERIA ITALIANA,Italian,06/20/2024,16,0
PERSEPOLIS,Mediterranean,03/11/2025,16,1
THE GRAFTON PUBLIC HOUSE,American,03/21/2024,10,1
NEW 94TH EAST BROADWAY,Chinese,12/02/2024,45,1
BLUE RIBBON FRIED CHICKEN,Chicken,03/16/2022,16,1
AMMI,Bangladeshi,03/13/2023,95,1
SUSHI LIN,Japanese,08/08/2023,38,1
DOS TOROS TAQUERIA,Mexican,04/29/2022,11,1
STARBUCKS,Coffee/Tea,09/24/2024,11,1
POPEYES LOUISIANA KITCHEN,Chicken,10/25/2022,20,0
MOROCHAS CAFE,Latin American,10/31/2024,18,0
MORGENSTERN'S FINEST ICE CREAM,Frozen Desserts,06/26/2018,16,1
ARK BAGELS,American,12/05/2024,59,1
CALIENTE CAB CO,Mexican,10/19/2023,26,0
JUST PHO YOU,Other,07/24/2023,39,1
HOP WON EXPRESS,Chinese,12/22/2022,37,1
TAQUERIA GUADALUPE,Mexican,10/02/2024,28,1
FRESH & CO,Sandwiches/Salads/Mixed Buffet,11/14/2023,41,1
VIV THAI RESTAURANT,Thai,07/26/2022,0,1
CACHAPAS Y MAS,Latin American,04/22/2024,27,1
WHITMANS,American,10/20/2024,24,1
MORGAN CAFE,American,08/12/2024,27,0
GAZAB,Indian,08/23/2022,13,1
CREPERIE,French,04/11/2023,20,1
GOLDEN WOKS,Chinese,03/15/2022,32,1
PIZZA TOWN,Pizza,08/02/2023,11,0
Q MARQET,American,06/02/2023,34,0
CHIPOTLE MEXICAN GRILL,Tex-Mex,04/17/2024,11,1
MAGNOLIA BAKERY,Bakery Products/Desserts,09/17/2024,13,0
PIZZA PETE'S,Pizza,05/20/2024,12,0
BELLA UNION,American,12/15/2021,9,1
LILLIE'S RESTAURANT,American,05/17/2023,11,0
